"Berufsgruppe";"Bezeichnung"
"700";"3-D-Artist"
"700";"3-D-Druck-Spezialist/in"
"700";"ADAS/AD Engineer"
"301";"Abfall-, Entsorgungstechnik (grundständig)"
"302";"Abfall-, Entsorgungstechnik (weiterführend)"
"700";"Abfallbeauftragte/r"
"700";"Abfallberater/in"
"700";"Abfüller/in"
"202";"Abwassermeister/in"
"700";"Account-Manager/in"
"105";"Aerobic-Trainer/in"
"700";"Affiliate-Manager/in"
"403";"Afrikanist/in"
"301";"Afrikanistik (grundständig)"
"302";"Afrikanistik (weiterführend)"
"700";"Agiler Coach / Scrum Master"
"403";"Agrarbiologe/-biologin"
"301";"Agrarbiologie (grundständig)"
"302";"Agrarbiologie (weiterführend)"
"301";"Agrarmanagement (grundständig)"
"302";"Agrarmanagement (weiterführend)"
"202";"Agrarservicemeister/in"
"102";"Agrarwirtschaftlich-technische/r Assistent/in"
"301";"Agrarwissenschaft (grundständig)"
"302";"Agrarwissenschaft (weiterführend)"
"403";"Agrarwissenschaftler/in / Agrarökonom/in"
"404";"Aktuar/in"
"700";"Akustiker/in"
"404";"Algesiologe/Algesiologin"
"700";"Alleinsteuermann/-frau"
"301";"Allgemeine und vergleichende Kulturwissenschaft (grundständig)"
"302";"Allgemeine und vergleichende Kulturwissenschaft (weiterführend)"
"301";"Allgemeine und vergleichende Literaturwissenschaft (grundständig)"
"302";"Allgemeine und vergleichende Literaturwissenschaft (weiterführend)"
"301";"Allgemeine und vergleichende Sprachwissenschaft (grundständig)"
"302";"Allgemeine und vergleichende Sprachwissenschaft (weiterführend)"
"301";"Alte Musik (grundständig)"
"302";"Alte Musik (weiterführend)"
"102";"Altenpflegehelfer/in"
"205";"Altentherapeut/in"
"301";"Altertumswissenschaften (grundständig)"
"302";"Altertumswissenschaften (weiterführend)"
"403";"Altertumswissenschaftler/in"
"700";"Ambulante/r Pfleger/in"
"105";"Amtliche/r Fachassistent/in (Fleischkontrolleur/in)"
"503";"Amtsanwalt/-anwältin"
"301";"Angewandte Naturwissenschaft (grundständig)"
"302";"Angewandte Naturwissenschaft (weiterführend)"
"403";"Anglist/in / Amerikanist/in"
"301";"Anglistik, Amerikanistik (grundständig)"
"302";"Anglistik, Amerikanistik (weiterführend)"
"105";"Animateur/in"
"700";"Animationskünstler/in"
"700";"Ankleider/in / Garderobier/e"
"700";"Anlageberater/in"
"101";"Anlagenmechaniker/in"
"101";"Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik"
"700";"Anschläger/in"
"700";"Anzeigenverkäufer/in"
"102";"Anästhesietechnische/r Assistent/in"
"403";"Apotheker/in"
"700";"Application-Engineer/-Manager/in"
"403";"Arabist/in"
"301";"Arabistik (grundständig)"
"302";"Arabistik (weiterführend)"
"700";"Arbeitsassistent/in"
"205";"Arbeitserzieher/in"
"301";"Arbeitsmarktmanagement (grundständig)"
"403";"Arbeitsmarktmanager/in"
"302";"Arbeitsmarktorientierte Beratung (weiterführend)"
"403";"Arbeitsmarktorientierte/r Berater/in"
"205";"Arbeitsmedizinische/r Assistent/in"
"700";"Arbeitsplanungsingenieur/in"
"700";"Arbeitsplatz-Auditor/in"
"700";"Arbeitsvermittler/in"
"700";"Arbeitsvorbereiter/in"
"403";"Arbeitswissenschaftler/in"
"403";"Architekt/in"
"301";"Architektur (grundständig)"
"302";"Architektur (weiterführend)"
"403";"Archivar/in"
"301";"Archivwissenschaft (grundständig)"
"302";"Archivwissenschaft (weiterführend)"
"403";"Archäologe/Archäologin"
"301";"Archäologie (grundständig)"
"302";"Archäologie (weiterführend)"
"700";"Arrangeur/in"
"700";"Art-Buyer (Werbung)"
"700";"Art-Director"
"102";"Artist/in"
"403";"Arzt/Ärztin"
"403";"Arztassistent/in / Physician Assistant"
"700";"Arztsekretär/in"
"101";"Asphaltbauer/in"
"700";"Assistent/in - Controlling"
"102";"Assistent/in - Ernährung und Versorgung"
"700";"Assistent/in - Filmgeschäftsführung"
"102";"Assistent/in - Gesundheits- und Sozialwesen"
"105";"Assistent/in - Gesundheitstourismus/-prophylaxe"
"102";"Assistent/in - Hotelmanagement"
"102";"Assistent/in - Informatik (Medieninformatik)"
"102";"Assistent/in - Informatik (Softwaretechnik)"
"102";"Assistent/in - Informatik (Wirtschaftsinformatik)"
"102";"Assistent/in - Informatik (allgemeine Informatik)"
"102";"Assistent/in - Informatik (technische Informatik)"
"102";"Assistent/in - Innenarchitektur"
"102";"Assistent/in - Maschinenbautechnik"
"102";"Assistent/in - Medientechnik"
"102";"Assistent/in - Produktdesign"
"700";"Assistent/in - Produktionsleitung"
"700";"Assistent/in - Steuerberatung"
"102";"Assistent/in - Technische Kommunikation"
"102";"Assistent/in - Tourismus"
"700";"Assistent/in - Wirtschaftsprüfung"
"700";"Assistent/in - klinische Studien"
"204";"Assistent/in/Fachkraft - Rechnungswesen"
"700";"Astrologe/Astrologin"
"302";"Astrophysik (weiterführend)"
"403";"Astrophysiker/in, Astronom/in"
"102";"Atem-, Sprech- und Stimmlehrer/in"
"700";"Atemtherapeut/in"
"301";"Audio-, Sounddesign (grundständig)"
"302";"Audio-, Sounddesign (weiterführend)"
"105";"Audio-Engineer"
"403";"Audiodesigner/in - Musik"
"105";"Audiodesigner/in - Musik (Ausbildung)"
"700";"Audiodeskriptor/in"
"101";"Aufbereitungsmechaniker/in - Braunkohle"
"101";"Aufbereitungsmechaniker/in - Feuerfeste/keramische Rohstoffe"
"101";"Aufbereitungsmechaniker/in - Naturstein"
"101";"Aufbereitungsmechaniker/in - Sand und Kies"
"101";"Aufbereitungsmechaniker/in - Steinkohle"
"700";"Aufnahmeleiter/in - Film und Fernsehen"
"404";"Aufsichtsperson (Unfallversicherung)"
"700";"Auftragsleiter/in"
"700";"Aufzugmonteur/in"
"301";"Augenoptik, Optometrie (grundständig)"
"302";"Augenoptik, Optometrie (weiterführend)"
"101";"Augenoptiker/in"
"401";"Augenoptikermeister/in/Bachelor Professional im Augenoptiker-Handwerk"
"700";"Auktionator/in"
"205";"Aus- und Weiterbildungspädagoge/-pädagogin"
"101";"Ausbaufacharbeiter/in - Estricharbeiten"
"101";"Ausbaufacharbeiter/in - Fliesen-, Platten- und Mosaikarbeiten"
"101";"Ausbaufacharbeiter/in - Stuckateurarbeiten"
"101";"Ausbaufacharbeiter/in - Trockenbauarbeiten"
"101";"Ausbaufacharbeiter/in - Wärme-, Kälte- und Schallschutzarbeiten"
"101";"Ausbaufacharbeiter/in - Zimmererarbeiten"
"103";"Ausbaumanager/in (doppelt qualifizierende Ausbildung)"
"205";"Ausbilder/in - Anerkannte Ausbildungsberufe"
"205";"Ausbilder/in - Erste Hilfe"
"700";"Ausbilder/in - Pharmareferenten/-innen"
"700";"Ausbildungsberater/in"
"700";"Ausstattungs-Assistent/in"
"700";"Ausstattungsleiter/in - Bühne/Film/Fernsehen"
"301";"Ausstellungsdesign (grundständig)"
"302";"Ausstellungsdesign (weiterführend)"
"403";"Ausstellungsdesigner/in"
"700";"Autogenschweißer/in"
"101";"Automatenfachmann/-frau - Automatendienstleistung"
"101";"Automatenfachmann/-frau - Automatenmechatronik"
"301";"Automatisierungstechnik (grundständig)"
"302";"Automatisierungstechnik (weiterführend)"
"205";"Automobil-Serviceberater/in"
"101";"Automobilkaufmann/-frau"
"301";"Automobilwirtschaft, Automotive Management (grundständig)"
"302";"Automobilwirtschaft, Automotive Management (weiterführend)"
"700";"Außendienstleiter/in (Versicherung)"
"700";"Außendienstmitarbeiter/in"
"103";"Außenhandelsassistent/in (doppelt qualifizierende Ausbildung)"
"700";"BIM-Manager/in"
"401";"Bachelor Professional - Betriebsinformatik"
"401";"Bachelor Professional - Energieeffizienz und digitales Bauprojektmanagement"
"401";"Bachelor Professional - IT"
"401";"Bachelor Professional - Künstliche Intelligenz und Maschinelles Lernen"
"401";"Bachelor Professional - Landwirtschaftliches Rechnungswesen und Steuern"
"401";"Bachelor Professional - Notariat"
"401";"Bachelor Professional - Straßenbetriebsmanagement"
"401";"Bachelor Professional - Versicherungen und Finanzanlagen"
"401";"Bachelor Professional - intelligente Gebäudetechnik und Systemvernetzung"
"401";"Bachelor Professional Buchhandelsfachwirt/in"
"700";"Badewärter/in (Schwimmbad)"
"700";"Ballettmeister/in"
"403";"Baltist/in"
"301";"Baltistik (grundständig)"
"301";"Bank, Finanzdienstleistungen (grundständig)"
"302";"Bank, Finanzdienstleistungen (weiterführend)"
"700";"Bankettleiter/in"
"700";"Bankettleiterassistent/in"
"101";"Bankkaufmann/-frau"
"700";"Bar-Chef/in"
"202";"Barmeister/in"
"205";"Barmixer/in, Barkeeper/in"
"301";"Batterietechnik (grundständig)"
