"Kennziffer";"Berufsgruppe";"Gültig"
"0";"Militär";"J"
"01";"Angehörige der regulären Streitkräfte";"J"
"011";"Offiziere";"J"
"0110";"Offiziere";"J"
"01104";"Offiziere";"J"
"012";"Unteroffiziere mit Portepee";"J"
"0120";"Unteroffiziere mit Portepee";"J"
"01203";"Unteroffiziere mit Portepee";"J"
"013";"Unteroffiziere ohne Portepee";"J"
"0130";"Unteroffiziere ohne Portepee";"J"
"01302";"Unteroffiziere ohne Portepee";"J"
"014";"Angehörige der regulären Streitkräfte in sonstigen Rängen";"J"
"0140";"Angehörige der regulären Streitkräfte in sonstigen Rängen";"J"
"01402";"Angehörige der regulären Streitkräfte in sonstigen Rängen";"J"
"1";"Land-, Forst- & Tierwirtschaft & Gartenbau";"J"
"11";"Land-, Tier- & Forstwirtschaftsberufe";"J"
"111";"Landwirtschaft";"J"
"1110";"Berufe Landwirtschaft (o.Spez.)";"J"
"11101";"Berufe Landwirtschaft (o.Spez.)-Helf./Anlerntät.";"J"
"11102";"Berufe Landwirtschaft (o.Spez.)-fachl.ausg.Tät.";"J"
"11103";"Berufe Landwirtschaft (o.Spez.)-kompl.Spez.tät.";"J"
"11104";"Berufe Landwirtschaft (o.Spez.)-hoch kompl.Tät.";"J"
"1111";"Berufe Landtechnik";"J"
"11113";"Berufe Landtechnik-kompl.Spez.tät.";"J"
"11114";"Berufe Landtechnik-hoch kompl.Tät.";"J"
"1112";"Landwirtschaftliche Sachverständige";"J"
"11123";"Landwirtschaftliche Sachverständige-kompl.Spez.tät.";"J"
"11124";"Landwirtschaftliche Sachverständige-hoch kompl.Tät.";"J"
"1113";"Berufe landwirtschaftl.-technisches Labor";"J"
"11132";"Berufe landwirtschaftl.-technisches Labor-fachl.ausg.Tät.";"J"
"11133";"Berufe landwirtschaftl.-technisches Labor-kompl.Spez.tät.";"J"
"1118";"Berufe Landwirtschaft (sonst.spez.Tät.)";"J"
"11182";"Berufe Landwirtschaft (sonst.spez.Tät.)-fachl. ausger.Tät.";"J"
"11183";"Berufe Landwirtschaft (sonst.spez.Tät.)-kompl.Spez.tät.";"J"
"11184";"Berufe Landwirtschaft (sonst.spez.Tät.)-hoch kompl.Tät.";"J"
"1119";"Aufsichts- & Führungskr.-Landwirtschaft";"J"
"11193";"Aufsichtskr.-Landwirtschaft";"J"
"11194";"Führungskr.-Landwirtschaft";"J"
"112";"Tierwirtschaft";"J"
"1121";"Berufe Nutztierhaltung (auß. Geflügelhalt.)";"J"
"11211";"Berufe Nutztierhaltung (auß. Geflügelhalt.)-Helf./Anlerntät.";"J"
