"Funktionsbereich";"Bezeichnung";"Kurzbezeichnung";"Gültig von";"Gültig bis";"Berufung";"Befrist."
"Funktion im Ausland";"Abwassertechniker/in";"10.01";01.01.2006;;"nötig";60
"Funktion im Ausland";"Admin SEEBA";"1.19";01.09.2016;;"nötig";60
"Funktion im Ausland";"Administration Support TAST";"alt5.01";01.01.2009;30.11.2015;"nötig";60
"Funktion im Ausland";"Administrator / Finance";"9.07";01.01.2006;;"nötig";60
"Funktion im Ausland";"Administrator / Office Support";"9.06";01.01.2005;;"nötig";60
"Funktion im Ausland";"Anlagentechniker/in";"10.02";01.01.2009;;"nötig";60
"Funktion im Ausland";"Baufacharbeiter/in";"10.03";01.01.2009;;"nötig";60
"Funktion im Ausland";"Bauingenieur/in Hochbau";"HBauIng";01.01.2006;31.03.2009;"nötig";60
"Funktion im Ausland";"Bauingenieur/in Hochbau /Architekt";"10.04";01.01.2006;;"nötig";60
"Funktion im Ausland";"Baumaschinenführer/in";"10.06";01.01.2006;;"nötig";60
"Funktion im Ausland";"Baustatiker/in";"10.07";01.01.2006;;"nötig";60
"Funktion im Ausland";"Bauzeichner/in";"10.08";01.01.2006;;"nötig";60
"Funktion im Ausland";"Bergungstaucher/in (Ausl.)";"10.42";01.05.2011;;"nötig";60
"Funktion im Ausland";"Bootsführer/in FRB";"7.03";12.04.2017;;"nötig";60
"Funktion im Ausland";"Brandschutzfachkraft";"10.09";01.01.2006;;"nötig";60
"Funktion im Ausland";"Camp Carpentry and other Woodwork";"6.03";01.09.2016;;"nötig";60
"Funktion im Ausland";"Camp Construction";"6.02";01.09.2016;;"nötig";60
"Funktion im Ausland";"Camp Electrical";"6.04";01.09.2016;;"nötig";60
"Funktion im Ausland";"Camp Manager SEEBA";"1.17";01.09.2016;;"nötig";60
"Funktion im Ausland";"Camp Sanitation";"6.05";01.09.2016;;"nötig";60
"Funktion im Ausland";"Camp Support";"6.06";01.01.2009;;"nötig";60
"Funktion im Ausland";"Camp-Planing";"6.01";01.01.2009;;"nötig";60
"Funktion im Ausland";"Cargo-/Flight Attendant";"3.02";01.04.2006;;"nötig";60
"Funktion im Ausland";"Cashdesk Administrator";"alt8.05";01.01.2005;31.01.2011;"nötig";60
"Funktion im Ausland";"Chief of Operations FRB";"7.02";12.04.2017;;"nötig";60
"Funktion im Ausland";"Chief of Operations HCP";"5.02";01.01.2005;;"nötig";60
"Funktion im Ausland";"Chief of Operations SEC";"4.02";01.01.2009;;"nötig";60
"Funktion im Ausland";"Chief of Operations SEEBA";"1.02";01.01.2005;;"nötig";60
"Funktion im Ausland";"Chief of Operations SEEWA";"2.02";01.01.2005;;"nötig";60
"Funktion im Ausland";"Chief of Operations rescEU CBRN Decon";"12.02";19.03.2024;;"nötig";60
"Funktion im Ausland";"Communications-/IT-Experte/in";"10.26";01.01.2009;;"nötig";60
"Funktion im Ausland";"Constructional Expert SEEWA";"2.05";01.01.2006;;"nötig";60
"Funktion im Ausland";"Cook";"10.25";01.01.2006;;"nötig";60
"Funktion im Ausland";"Cultural Heritage Advisor CHRU";"11.02";09.08.2023;;"nötig";60
